Time,Mass Change (Gt)
2011.20274,-245.061304
2011.287671,-251.4489396
2011.369863,-251.2337102
2011.454795,-260.2653577
2011.536986,-293.7701361
2011.621918,-329.9858724
2011.706849,-327.7788305
2011.789041,-325.7293273
2012.041096,-333.1074063
2012.205479,-341.9250451
2012.290411,-344.1137185
2012.372603,-342.9161782
2012.457534,-353.2445119
2012.539726,-385.5032303
2012.624658,-417.0211414
2012.709589,-418.9092817
2012.791781,-413.5950897
2012.863014,-401.6840232
2013.126027,-415.5693494
2013.20274,-419.8973946
2013.287671,-417.8984605
2013.369863,-414.8550137
2013.454795,-426.3961325
2013.536986,-443.0394584
2013.621918,-454.255088
2013.706849,-448.0490914
2013.789041,-446.8703008
2013.873973,-449.6143278
2013.956164,-450.8970312
2014.041096,-458.3313781
2014.126027,-466.7361846
2014.20274,-473.097281
2014.287671,-476.8333085
2014.369863,-481.4391613
2014.454795,-483.881947
2014.536986,-508.3043725
2014.621918,-526.1747822
2014.668493,-518.7952453
2014.706849,-519.0877304
2014.789041,-523.9842632
2014.873973,-526.7653651
2014.956164,-529.4766865
2014.958904,-529.6782003
2015.041096,-536.8447131
2015.043836,-537.0962237
2015.123288,-539.7541235
2015.126027,-540.0535976
2015.20274,-548.1062602
2015.205479,-548.3915123
2015.287671,-555.2049813
2015.369863,-557.9960927
2015.372603,-558.1803237
2015.454795,-569.3620102
2015.536986,-610.4880601
2015.539726,-612.5280468
2015.621918,-640.5335199
2015.624658,-641.1364195
2015.668493,-641.8621835
2015.706849,-639.8299832
2015.789041,-638.0559533
2015.791781,-637.3603703
2015.873973,-638.4759685
2015.956164,-634.0949129
2015.958904,-634.3796302
2016.041096,-641.1384263
2016.043836,-641.4242736
2016.126027,-648.3241376
2016.205479,-651.046699
2016.208219,-650.6271597
2016.290411,-642.3339271
2016.372603,-637.5235825
2016.375342,-637.7850316
2016.457534,-643.8477098
2016.539726,-672.9229606
2016.542466,-674.6446774
2016.624658,-699.2434944
2016.627397,-699.5184288
2016.671233,-698.4717093
2016.709589,-696.4625037
2016.736986,-695.9892888
2016.767123,-694.9350725
2016.791781,-693.4580135
2016.794521,-693.4755167
2016.8,-693.9119861
2016.832877,-696.8044986
2016.865753,-694.4365559
2016.876712,-695.3345264
2016.89863,-695.3457436
2016.931507,-698.346025
2016.958904,-699.8310488
2016.961644,-700.0724614
2016.964384,-700.3429315
2016.99726,-703.7493302
2017.010959,-702.9311887
2017.041096,-705.4459403
2017.043836,-705.4608694
2017.060274,-705.8787867
2017.079452,-707.7693021
2017.109589,-711.2441621
2017.123288,-711.5955182
2017.126027,-711.8767109
2017.158904,-714.4295524
2017.191781,-712.997612
2017.20274,-713.2844679
2017.205479,-713.3627287
2017.224658,-713.4302111
2017.287671,-719.4995236
2017.369863,-718.7089831
2017.372603,-718.8956568
2017.389041,-713.9917152
2017.421918,-715.5791963
2017.454795,-719.1473353
2017.487671,-725.120155
