Time,Mass Change (Gt)
2016.041096,-129.0738213
2016.043836,-129.1640987
2016.126027,-114.4741364
2016.205479,-107.8395845
2016.208219,-107.9593779
2016.290411,-108.835965
2016.372603,-103.9584823
2016.375342,-104.134206
2016.457534,-115.0166489
2016.539726,-177.2044363
2016.542466,-179.0861896
2016.624658,-219.7121522
2016.627397,-220.0954842
2016.671233,-223.9954798
2016.709589,-218.2400931
2016.736986,-216.6276649
2016.767123,-213.5924627
2016.791781,-211.2632783
2016.794521,-211.0768268
2016.8,-209.7117884
2016.832877,-188.8544301
2016.865753,-174.3986222
2016.876712,-168.5195574
2016.89863,-163.8659019
2016.931507,-160.630304
2016.958904,-157.3281119
2016.961644,-157.3050006
2016.964384,-156.5712772
2016.99726,-149.5763477
2017.010959,-149.8955188
2017.041096,-148.9723041
2017.043836,-148.1031754
2017.060274,-148.4241187
2017.079452,-147.5566315
2017.109589,-140.2145878
2017.123288,-139.3384993
2017.126027,-139.2739686
2017.158904,-131.2601723
2017.191781,-132.4777049
2017.20274,-132.3378607
2017.205479,-132.4164941
2017.224658,-132.6758747
2017.287671,-131.6274111
2017.369863,-129.5797615
2017.372603,-129.7017399
2017.389041,-132.2356438
2017.421918,-134.5168321
2017.454795,-139.3098893
2017.487671,-160.750659
2017.520548,-170.6253767
2017.536986,-180.360191
2017.539726,-181.7785864
2017.621918,-223.1025171
2017.624658,-223.0818224
2017.668493,-224.3749708
2017.706849,-213.4691607
2017.789041,-179.5565686
2017.791781,-178.953458
2017.873973,-168.1582759
2017.882192,-165.7818693
2017.915068,-166.2763683
2017.947945,-166.6722111
2017.956164,-166.7662462
2017.958904,-166.7819592
2017.980822,-167.1199399
2018.013699,-167.7863835
2018.041096,-156.72391
2018.043836,-152.1587291
2018.046575,-149.8979569
2018.079452,-148.3786293
2018.112329,-144.5438624
2018.123288,-138.6976349
2018.126027,-135.4612148
2018.145205,-113.4595374
2018.178082,-105.3896952
2018.20274,-105.1344426
2018.205479,-105.2585595
2018.210959,-105.2129219
2018.243836,-101.8329443
2018.276712,-101.7715789
2018.287671,-101.3912906
2018.309589,-101.2321185
2018.342466,-80.51557047
2018.369863,-76.93199897
2018.372603,-75.90768752
2018.375342,-75.89341471
2018.408219,-75.7173657
2018.441096,-79.69569058
2018.454795,-80.27213398
2018.473973,-87.50969211
2018.506849,-107.9918223
2018.536986,-127.9432408
2018.539726,-129.1025067
2018.572603,-139.4653023
2018.605479,-149.9518646
2018.621918,-155.2846051
2018.624658,-155.8460356
2018.638356,-157.68651
2018.671233,-158.3203968
2018.70411,-152.6945835
2018.706849,-152.6492389
2018.736986,-153.0762988
2018.769863,-152.8136147
2018.789041,-142.8417418
2018.791781,-142.1779392
2018.80274,-138.4835277
2018.835616,-132.6264478
2018.868493,-128.3452505
2018.873973,-128.5135584
2018.90137,-127.3234736
