Time,Mass Change (Gt)
2011.287671,-221.9333959
2011.369863,-227.6359495
2011.454795,-238.3488478
2011.536986,-270.1841582
2011.621918,-299.207878
2011.706849,-302.28808
2011.789041,-302.8952053
2012.041096,-308.3875616
2012.205479,-310.2396414
2012.290411,-301.7157819
2012.372603,-300.4001999
2012.457534,-316.6714886
2012.539726,-355.5069128
2012.624658,-384.1581391
2012.709589,-388.9484102
2012.791781,-382.2866682
2012.863014,-373.8826609
2013.126027,-383.1142041
2013.20274,-384.4813662
2013.287671,-388.4554961
2013.369863,-382.471572
2013.454795,-394.204845
2013.536986,-415.5296187
2013.621918,-434.9690352
2013.706849,-430.6878934
2013.789041,-427.3013923
2013.873973,-430.140433
2013.956164,-425.9042967
2014.041096,-431.8724018
2014.126027,-438.8476982
2014.20274,-443.9487446
2014.287671,-446.2361474
2014.369863,-446.4713743
2014.454795,-453.4574875
2014.536986,-478.9978891
2014.621918,-497.4926699
2014.668493,-496.8556642
2014.706849,-493.302847
2014.789041,-494.1388775
2014.873973,-497.4298058
2014.956164,-495.5641486
2014.958904,-495.4056896
2015.041096,-498.2891978
2015.043836,-498.4811699
2015.123288,-496.7065801
2015.126027,-496.9405117
2015.20274,-502.8275084
2015.205479,-503.0687608
2015.287671,-505.3554821
2015.369863,-504.2437717
2015.372603,-504.4132527
2015.454795,-508.7862858
2015.536986,-543.1277909
2015.539726,-544.5884806
2015.621918,-561.8957435
2015.624658,-562.2828414
2015.668493,-563.1105215
2015.706849,-561.2127282
2015.789041,-559.2615514
2015.791781,-558.3480287
2015.873973,-559.4964123
2015.956164,-554.9966488
2015.958904,-555.2407372
2016.041096,-560.9660465
2016.043836,-561.2343123
2016.126027,-566.4562957
2016.205479,-568.7937768
2016.208219,-568.9188122
2016.290411,-566.8906777
2016.372603,-558.6583945
2016.375342,-559.1163006
2016.457534,-564.6728001
2016.539726,-590.6122089
2016.542466,-591.9485022
2016.624658,-619.9590924
2016.627397,-620.4638528
2016.671233,-628.0966128
2016.709589,-629.3339831
2016.736986,-629.983066
2016.767123,-630.1481516
2016.791781,-626.5721699
2016.794521,-626.0798043
2016.8,-625.5343088
2016.832877,-625.8738277
2016.865753,-622.5902416
2016.876712,-622.7745885
2016.89863,-622.340269
2016.931507,-622.7929285
2016.958904,-622.9797979
2016.961644,-623.1270354
2016.964384,-623.238959
2016.99726,-624.8430989
2017.010959,-620.5851099
2017.041096,-620.1952528
2017.043836,-620.286252
2017.060274,-618.6767358
2017.079452,-618.5687101
2017.109589,-620.745069
2017.123288,-618.6926562
2017.126027,-618.7580548
