Time,Mass Change (Gt)
2018.276712,-2697.062898
2018.287671,-2689.965526
2018.309589,-2690.813483
2018.342466,-2666.791063
2018.369863,-2660.420241
2018.372603,-2657.304876
2018.375342,-2652.948109
2018.408219,-2650.770031
2018.441096,-2662.64565
2018.454795,-2678.040217
2018.473973,-2704.657799
2018.506849,-2759.877888
2018.536986,-2818.983366
2018.539726,-2824.224103
2018.572603,-2876.136908
2018.605479,-2946.03957
2018.621918,-2982.305145
2018.624658,-2985.244676
2018.638356,-3000.076717
2018.671233,-2996.803739
2018.70411,-2980.804248
2018.706849,-2980.379573
2018.736986,-2981.948771
2018.769863,-2965.096195
2018.789041,-2955.191195
2018.791781,-2954.273797
2018.80274,-2950.076736
2018.835616,-2939.350237
2018.868493,-2936.271068
2018.873973,-2936.11471
2018.90137,-2912.219566
2018.934247,-2917.451885
2018.956164,-2909.34954
2018.967123,-2908.206791
2019,-2895.023191
2019.032877,-2869.538615
2019.065753,-2857.888886
2019.09863,-2859.768709
2019.131507,-2866.48889
2019.164384,-2846.142281
2019.19726,-2850.181931
2019.230137,-2842.272644
2019.260274,-2829.524172
2019.29589,-2789.750511
2019.328767,-2774.803038
2019.361644,-2793.592321
2019.394521,-2817.94912
2019.427397,-2857.435293
2019.460274,-2951.169232
2019.493151,-3020.160551
2019.526027,-3136.569357
2019.558904,-3266.440135
2019.591781,-3406.409602
2019.624658,-3485.979986
2019.657534,-3509.284294
2019.690411,-3509.889995
2019.723288,-3500.063199
2019.756164,-3487.397414
2019.789041,-3471.592291
2019.821918,-3467.01827
2019.854795,-3459.922538
2019.887671,-3424.534406
2019.920548,-3403.94586
2019.953425,-3396.454655
2019.986301,-3404.829427
2020.019178,-3394.751284
2020.052055,-3383.925516
2020.084932,-3372.218942
2020.117808,-3359.558855
2020.150685,-3362.336977
2020.183562,-3362.57703
2020.216438,-3366.001373
2020.249315,-3350.656347
2020.282192,-3350.672816
2020.315068,-3323.418683
2020.347945,-3311.780077
2020.380822,-3333.839077
2020.413699,-3346.574476
2020.446575,-3362.825584
2020.479452,-3403.36776
2020.512329,-3495.916151
2020.545205,-3587.868522
2020.578082,-3679.827595
2020.610959,-3716.500045
2020.643836,-3751.333244
2020.676712,-3764.230516
2020.709589,-3757.408258
2020.742466,-3747.6323
2020.775342,-3726.46875
2020.808219,-3697.180292
2020.841096,-3689.611053
2020.873973,-3665.666486
2020.906849,-3656.976974
2020.939726,-3649.224891
2020.972603,-3648.746769
2021.00274,-3616.393688
2021.035616,-3602.804297
2021.068493,-3601.296048
2021.10137,-3590.13086
2021.134247,-3571.400884
2021.167123,-3560.119997
2021.2,-3554.260394
2021.232877,-3538.826961
2021.265753,-3522.226438
2021.293151,-3497.18582
2021.331507,-3505.397613
2021.369863,-3524.272553
2021.39726,-3522.877708
2021.430137,-3539.698399
2021.463014,-3593.616667
2021.49589,-3652.982824
2021.528767,-3698.28316
2021.561644,-3763.649439
2021.594521,-3885.565842
2021.627397,-3945.107732
2021.660274,-3993.508982
2021.693151,-3986.554119
2021.726027,-3960.556015
2021.758904,-3960.914172
2021.791781,-3955.473577
2021.824658,-3943.323041
2021.857534,-3929.915107
2021.890411,-3908.932328
2021.923288,-3874.882014
2021.956164,-3853.908711
2021.989041,-3856.009639
